Actor,Peliculas,Sexo
Mihaela Durlihac,['Re-emigrantes'],Mujer
Mihoa Lee,['Awareness'],
Mike Brendel,['Joaquín Murrieta'],Hombre
Mike Hoffmann,['El jugador de ajedrez'],Hombre
Mike Kennedy,"['Los chicos con las chicas', '¡Dame un poco de amooor...!']",Hombre
Mike Landscape,['Historia de mi muerte'],Hombre
Mikel Albisu,"['Un poco de chocolate', 'Yoyes', 'Los años oscuros', 'La buena voz']",Hombre
Mikel Alvariño,['The Birthday'],Hombre
Mikel Aramburu,['La casa de mi padre'],Hombre
Mikel Bustamante,"['Maixabel', 'Cinco lobitos']",Hombre
Mikel Checa,['María querida'],Hombre
Mikel Erentxun,['Carretera y manta'],Hombre
Mikel Garmendia,"['27 horas', 'Sí, quiero', 'El invierno en Lisboa']",Hombre
Mikel Iglesias,"['Vitoria, 3 de marzo', 'La próxima piel', 'Los últimos días', 'Ismael', 'Brava', 'Barcelona 1714']",Hombre
Mikel Laskurain,['Las buenas compañías'],Hombre
Mikel Losada,"['Kutsidazu bidea, Ixabel (Enséñame el camino, Isabel)', 'Ane', 'Casual Day', 'El coche de pedales', 'La higuera de los bastardos', 'Bypass', 'Igelak (Ranas)', 'El cazador de dragones', 'La pequeña Suiza', 'García y García']",Hombre
Mikel Martín,['La noche del virgen'],Hombre
Mikel Martínez,['La noche del ratón'],Hombre
Mikel Sarasa,['Los chicos del puerto'],Hombre
Mikel Tello,"['La buena nueva', 'Las buenas compañías', 'La herida']",Hombre
Mikele Urroz,"['Los ilusos', 'La virgen de agosto']",
Miki Esparbé,"['Una vida no tan simple', 'El rey tuerto', 'No sé decir adiós', 'Barcelona, noche de invierno', 'Rumbos', 'Tres', 'Requisitos para ser una persona normal', 'Las distancias', 'El camino más largo para volver a casa', 'Barcelona, noche de verano', 'Un hombre de acción', 'Cuando dejes de quererme', 'Malnazidos', 'Es por tu bien', 'La reina de los lagartos', 'Perdiendo el norte', 'Donde caben dos', 'Perdiendo el este', 'La maniobra de Heimlich', 'Cuerpo de élite', 'Incidencias']",Mujer
Miko Jarry,['Tercer grado'],Hombre
Mila Borràs,['Creatura'],Mujer
Mila Fernández,"['Jaulas', 'Para toda la muerte']",Mujer
Mila Stanic,['El periscopio'],Mujer
Milagros Aguilar,['Bragas calientes'],Mujer
Milagros Ceballos,['La marca del hombre lobo'],Mujer
Milagros Gutiérrez,['Del lado del verano'],Mujer
Milagros Leal,"['El mundo sigue', 'El clavo', 'Tormento', 'El destino se disculpa', 'El fantasma y doña Juanita', 'Las inquietudes de Shanti Andía', 'La verbena de la Paloma', 'La reina del Chantecler', 'El secreto de Tomy']",Mujer
Milagros Pérez de León,['Vamos por la parejita'],Mujer
Milan Tocinovski,['18 comidas'],Hombre
Milena Smit,"['No Matarás', 'Madres paralelas', 'Libélulas', 'Tin & Tina']",Mujer
Milene Mayer,['Los futbolísimos'],
Milla Jovovich,['Paradise Hills'],Mujer
Milly Vitale,['Diez fusiles esperan'],Mujer
Millán Salcedo,"['La corte de Faraón', 'La loca historia de los tres mosqueteros', 'Aquí huele a muerto... (¡Pues yo no he sido!)', 'El robobo de la jojoya', 'Ni te cases ni te embarques']",
Milo Quesada,"['Un vaso de whisky', 'El hombre que mató a Billy el Niño', 'Las chicas de la Cruz Roja', 'El coleccionista de cadáveres', 'Mi último tango']",Hombre
Milo Taboada,"['Elisa y Marcela', 'Todos los nombres de Dios', 'La isla de las mentiras', 'Café solo o con ellas', 'Asombrosa Elisa']",Hombre
Milton Cortés,['Hijos del viento (Entre la luz y las tinieblas)'],Hombre
Milton de la Canal,['Morir en San Hilario'],Hombre
Milú,['Barrio'],
Mima Riera,['Durante la tormenta'],Mujer
Mimmo Palmara,['Las pistolas no discuten'],Hombre
Mimí Muñoz,"['127 millones libres de impuestos', 'La saga de los Drácula']",
Min Tanaka,['Mapa de los sonidos de Tokio'],
Mina El Hammani,['Mañana es hoy'],Mujer
Mingo Rafols,"['Morir (o no)', 'Krámpack', 'Cuerpo en el bosque', 'Quatretondeta', 'Gimlet', '¿Qué te juegas, Mari Pili?']",
Minnie Marx,"['El habitante incierto', '¡Buen viaje, excelencia!', 'Maniac tales. Relatos inquietantes']",Mujer
Mino Mackic,['Grand Piano'],Hombre
Miquel Barceló,['Los pasos dobles'],Hombre
Miquel Bordoy,"['Topical Spanish', 'Las crueles']",Hombre
Miquel Cors,['Topical Spanish'],Hombre
Miquel Fernández,"['Durante la tormenta', 'Adú', 'Cien años de perdón', 'Litus', 'Legado en los huesos', 'Venus', 'La gran familia española', 'El guardián invisible', 'Mamá o papá', 'Alpha', 'Visitante', 'Vulcania', 'Fin', 'H6, diario de un asesino']",Hombre
Miquel Forteza,"[""Un parell d'ous""]",Hombre
Miquel Gelabert,"['Frederica Montseny, la mujer que habla', 'Bajocero', 'La vida lliure', 'Iris', 'El año del diluvio', 'Pàtria']",Hombre
Miquel Graneri,['La piel quemada'],Hombre
Miquel Insúa,"['Magical Girl', 'Mantícora', 'Sempre Xonxa (Siempre Xonxa)', 'Diamond Flash', 'Esa sensación', 'Cuerpo abierto', 'El desenlace', 'Días de boda']",Hombre
Miqui Puig,['Dos a la carta'],
Mir Ferry,"['Viaje al más allá', 'El periscopio']",Hombre
Miranda Bodenhofer,['El baile de la Victoria'],Mujer
Miranda Gas,['Boi'],Mujer
Miranda Makaroff,"['En la ciudad', 'Eloïse', 'Agnosia', 'Sólo química']",Mujer
Miranda Richardson,['El sueño del mono loco'],Mujer
Mireia Gabilondo,"['Kutsidazu bidea, Ixabel (Enséñame el camino, Isabel)', 'El hijo del acordeonista']",Mujer
Mireia Guilella,['Blue Rai'],Mujer
Mireia Oriol,"['El arte de volver', 'El pacto']",Mujer
Mireia Piferrer,['Todos queremos lo mejor para ella'],Mujer
Mireia Portas,['Superlópez'],Mujer
Mireia Pérez,['Cosas que hacer antes de morir'],Mujer
Mireia Rey,"['Mientras dure la guerra', 'Hogar', 'Èxode, de la batalla a la frontera (TV)', 'Asombrosa Elisa']",Mujer
Mireia Ros,"['La larga noche de los bastones blancos', 'El elegido', 'Animales de compañía', '[•REC]³: Génesis', 'Cásate conmigo, Maribel', 'Las manos vacías', 'Berlín Blues', 'Los violadores del amanecer']",Mujer
Mireia Vilapuig,"['Héroes', 'Fènix 11·23']",Mujer
Mireille Perrier,['Las manos vacías'],Mujer
Mirela Balic,['Código Emperador'],Mujer
Miren Arrieta,['El hijo del acordeonista'],Mujer
Miren Gaztañaga,"['Ane', 'Igelak (Ranas)']",Mujer
Miren Gojenola,['Los años oscuros'],Mujer
Miren Ibarguren,"['Las 13 rosas', 'Mamá o papá', 'El test', 'Kalebegiak', 'Fe de etarras', 'Lo dejo cuando quiera', 'Operación Camarón', 'Fenómenas', 'Una hora más en Canarias', 'El juego de las llaves', '¿Estás ahí?', 'La novia de América']",Mujer
Miren Iza,['Los exiliados románticos'],Mujer
Miren Tirapu,['Irati'],Mujer
Mirentxu Goienetxe,['Baztan'],
Miriam Benoit,['Dioses y perros'],Mujer
Miriam Blanco,['Café solo o con ellas'],Mujer
Miriam Cabeza,"['Ocho apellidos vascos', 'La noche del ratón']",Mujer
Miriam Correa,"['La soledad', 'Hierro']",Mujer
Miriam Díaz Aroca,"['Belle Époque', 'Tacones lejanos', 'Me llamo Gennet', 'Carreteras secundarias', 'XXL', 'La mujer de mi vida', 'Isi/Disi: Amor a lo bestia', 'El paraíso ya no es lo que era', 'Los porretas', 'La Cripta, el último secreto']",Mujer
Miriam Faura,['La estrategia del pequinés'],Mujer
Miriam Giovanelli,"['Todas las canciones hablan de mí', 'Rivales', 'Miguel y William', ""Canciones de amor en Lolita's Club"", 'El año de la plaga', 'Mentiras y gordas']",Mujer
Miriam Learra,['El misterio Galíndez'],Mujer
Miriam Marco,['Stockholm'],Mujer
Miriam Martín,"['El hoyo', 'La noche del virgen', 'Verbo', 'Viral']",Mujer
Miriam Montero,['Cine Basura: La película'],Mujer
Miriam Montilla,['La caja 507'],Mujer
Miriam Planas,"['Barcelona, noche de verano', 'XP3D', 'Psychophony']",Mujer
Miriam Raya,"['Camino', 'Semen, una historia de amor']",Mujer
Miriam Ruiz,['Acantilado'],Mujer
Miriam Tortosa,['H0us3'],Mujer
Miriam Ubri,['El rey del río'],Mujer
Miriam de la Fuente,['Rocambola'],Mujer
Miriam del Prado,['Todas las lunas'],Mujer
Miro Magariños,['Jacinto'],Hombre
Miroslaw Haniszewski,['Un día más con vida'],
Mirosláv Táborský,['La niña de tus ojos'],
Mirta Miller,"['Cría cuervos...', 'A un dios desconocido', 'Retrato de familia', 'Yo hice a Roque III', 'Dr. Jekyll y el Hombre Lobo', 'El gran amor del conde Drácula', 'Los viajes escolares', 'El padre de la criatura', 'Préstame quince días', '¡No firmes más letras, cielo!', 'Como matar a papá... sin hacerle daño', 'La oscura historia de la prima Montse', 'Alcalde por elección', 'La rebelión de las muertas', 'La chica del Molino Rojo', 'Un lujo a su alcance', 'Mi mujer es muy decente, dentro de lo que cabe', 'Vente a ligar al Oeste', 'Cuentos de las sábanas blancas', 'El señor está servido', 'Pisito de solteras', 'El insólito embarazo de los Martínez', 'La lozana andaluza', 'Los novios de mi mujer', 'Pepito Piscinas', 'Aunque la hormona se vista de seda...', 'Pelotazo nacional', 'Operación Gónada']",Mujer
Mirta Zecevic,['Territorio comanche'],Mujer
Mirtha Echarte,['Miss Caribe'],Mujer
Mirtha Ibarra,"['Sobreviviré', '7 días en La Habana', 'Mararía', 'Cuarteto de La Habana', 'Sagitario']",Mujer
Mirtha Legrand,['Doña Francisquita'],Mujer
Miryam Gallego,"['La voz dormida', 'Concursante']",Mujer
Mischa Auer,['La pícara molinera'],Hombre
Misha Bies Golas,['Longa noite'],Hombre
Mochi,['Megatón Ye-Ye'],
Modesto Blanch,"['El bosque del lobo', 'El hincha', 'Más bonita que ninguna']",Hombre
Modesto Cid,"['Apartado de Correos 1001', 'La honradez de la cerradura', 'El difunto es un vivo', 'Un enredo de familia', 'Boda accidentada']",Hombre
Mohame Bouachmir,['Jóvenes'],
Mohamed Chafik,['Arritmia (Guantanamero)'],Hombre
Mohamen Mehdi Ouazanni,['Kasbah'],
Moi Camacho,"['Cine Basura: La película', 'Ni de coña']",
Moisés Augusto Rocha,['Cabezas cortadas'],Hombre
Moisés Ortega,['El país del miedo'],Hombre
Moisés Rodríguez,"['Todo está oscuro', 'Diana']",Hombre
Molly Malcolm,"['El coronel Macià', 'Viaje mágico a África']",Mujer
Momo Ballesteros,['Los últimos días'],Mujer
Momoyo Miya,['SeX'],
Mona Martínez,"['Intemperie', 'Adiós', 'Jaula', 'Las niñas de cristal', 'La maniobra de la tortuga', 'Ana de día', 'Taxi a Gibraltar']",Mujer
Monica Antonopulos,"['Sexo fácil, películas tristes']",Mujer
Monica Bellucci,['A los que aman'],Mujer
Monica Khanna,['La cinta de Álex'],Mujer
Monica Lamberti,['Un hombre de acción'],Mujer
Monika Kowalska,"['La puerta abierta', 'El destierro', 'La Rusa']",Mujer
Monique Thibaut,['El crimen de la calle de Bordadores'],Mujer
Monti Castiñeiras,"['A Esmorga', 'El lápiz del carpintero', 'Sicixia', '¿Y tú quién eres?', 'Días de boda']",
Montse Davila,['Arrugas'],Mujer
Montse Esteve,['El dominio de los sentidos'],Mujer
Montse Germán,"['Ficción', 'Los niños salvajes', 'La mujer ilegal', 'Atlas de geografía humana']",Mujer
Montse Guallar,"['Gracias por la propina', 'La telaraña']",Mujer
Montse Morillo,['Girasoles silvestres'],Mujer
Montse Mostaza,"['La máquina de pintar nubes', 'Crimen ferpecto', 'Fuego', 'Bullying', 'Tuno negro', 'Ouija', 'Diario de una becaria']",Mujer
Montse Oró,['Alcarràs'],Mujer
Montse Pla,"['Ola de crímenes', 'Vampus Horror Tales', 'Lo nunca visto']",Mujer
Montse Pérez,['Héroes'],Mujer
Montse Torrent,"['Techo y comida', 'Fogueo']",Mujer
Montse Triola,"['Historia de mi muerte', 'El canto de los pájaros', 'El Senyor ha fet en mi meravelles', 'Crespià, the Film not the Village']",Mujer
Montserrat Alcoverro,"['Katmandú, un espejo en el cielo', 'Lola vende cá', 'Chuecatown']",Mujer
Montserrat Blanch,"['Los peces rojos', 'Nueve cartas a Berta', 'Dos cuentos para dos']",Mujer
Montserrat Carulla,"['Surcos', 'El orfanato', 'Feliz año, abuela', 'Barcelona, noche de invierno', 'Tu nombre envenena mis sueños', 'Carreteras secundarias', 'Companys, proceso a Cataluña', 'Mala uva', 'La ciudad de los prodigios', 'El vicario de Olot']",Mujer
Montserrat Gausachs,['Sévigné'],Mujer
Montserrat Julió,"['La tía Tula', 'El arte de vivir', 'Una vela para el diablo', 'Tierra de todos', 'La visita que no tocó el timbre', 'Los nuevos españoles', 'La novia ensangrentada', 'Vida conyugal sana', 'La rebelión de las muertas', 'Manolo, la nuit', 'Cuando tú no estás', 'Zampo y yo', 'Tío, ¿de verdad vienen de París?', 'Sex o no sex']",Mujer
Montserrat Latorre,['Mujeres en el parque'],Mujer
Montserrat Miralles,"['El cadáver de Anna Fritz', 'Secta siniestra']",Mujer
Montserrat Prous,"['Los ojos siniestros del doctor Orloff', 'El fontanero, su mujer, y otras cosas de meter...']",Mujer
Montserrat Salvador,"['Distrito quinto', 'Don Lucio y el hermano Pío', '53 días de invierno', 'Caricias', '25 kilates', 'La muerte de Mikel', 'Coto de caza', 'La playa de los galgos', 'Los restos del naufragio', 'La moños', 'Libertad provisional', 'Cuernos de mujer']",Mujer
Montserrat Trepat,['Tros (Tierras)'],Mujer
Mor Ngom,['Loli Tormenta'],Hombre
Moreno Borja,"['Carmen y Lola', 'El verano que vivimos', 'El universo de Óliver']",Hombre
Morgan Blasco,['Estigmas'],Hombre
Morgan Weisser,['Desvío al paraíso'],Hombre
Morucha,['El amor brujo'],
Mot Harris Dunlop Stothart,['Insensibles'],
Mouafaq Rushdie,['Sinjar'],
Moussa Maaskri,"['El Niño', 'Bruc. El desafío']",Hombre
Moustapha Oumarou,['Adú'],
Mulie Jarjú,"['El traje', 'Las cartas de Alou', 'Palmeras en la nieve']",
Mumi Diallo,['El vientre del mar'],
Muntsa Alcañiz,['La buena vida'],
Muriel,['Frágil'],Mujer
Muriel Catalá,['La loba y la paloma'],Mujer
Muriel Montossé,['Las chicas del tanga'],Mujer
Murphy Guyer,['La Fiesta Del Chivo'],Hombre
Myriam Landson,['La tumba de los muertos vivientes'],Mujer
Myriam Mézières,"['Krámpack', 'Boca a boca', 'Retrato de mujer con hombre al fondo', 'Tánger']",Mujer
Myriam de Maeztu,"['Concursante', 'Las palabras de Max', 'El detective y la muerte', 'Fotos', 'Entre rojas', 'Puede ser divertido']",Mujer
Myrian Marine,['La mujer sin piano'],
Màrcia Cisteró,"['Frederica Montseny, la mujer que habla']",
Mágic Andreu,['Gracias por la propina'],
Mágica Pérez,['Dictado'],
Márcio Ferreira,['La leyenda de Balthasar el castrado'],Hombre
Mário Santos,['¡Salta!'],Hombre
Máximo Jiménez,['El bola'],Hombre
Máximo Pastor,"['Lucas', 'Zipi y Zape y la isla del capitán']",Hombre
Máximo Valverde,"['Manuela', 'No es bueno que el hombre esté solo', 'Fortunata y Jacinta', 'Españolas en París', 'Torremolinos 73', 'La cólera del viento', 'Hay que educar a papá', 'Casa Flora', 'Fin de semana al desnudo', 'Clara es el precio', 'Isi/Disi: Amor a lo bestia', 'El secreto inconfesable de un chico bien', 'Las ibéricas F.C.', 'El equipo Aahhgg']",Hombre
Mélanie Doutey,['El Lobo'],Mujer
Mélanie Laurent,"['No llores, vuela']",Mujer
Mélanie Thierry,['Un día perfecto'],Mujer
Míriam Alamany,['Los días que vendrán'],
Míriam Martí,['Desaparecer'],
Mònica Glaenzel,"['Transeúntes', 'Krámpack']",
Mònica Pérez,['Escape Room: La película'],
Mónica Ayos,['La novia de América'],Mujer
Mónica Bardem,['Resultado final'],Mujer
Mónica Cano,"['Los años bárbaros', 'Besos para todos', 'Cuarteto de La Habana', 'Eso', 'Cascabel', 'XXL', 'Le llamaban J.R.']",Mujer
Mónica Cervera,"['Piedras', 'Crimen ferpecto', 'Octavia', '20 centímetros', 'Entre vivir y soñar']",Mujer
Mónica Coronado,"['La maldita primavera', 'Nos parecía importante']",Mujer
Mónica Cruz,['9 meses'],Mujer
Mónica Estarreado,"['En la ciudad sin límites', 'Más de mil cámaras velan por tu seguridad']",Mujer
Mónica Gabriel y Galán,['¡¡¡A tope!!!'],Mujer
Mónica Galán,['Sus ojos se cerraron'],Mujer
Mónica García,"['A Esmorga', 'Para que no me olvides', 'Con el viento']",Mujer
Mónica Godoy,['XXL'],Mujer
Mónica Gª Ferreras,['Cándida'],Mujer
Mónica Huguet,['El complot de los anillos'],Mujer
Mónica López,"['El Reino', 'Que Dios nos perdone', 'En la ciudad', 'Intacto', 'Todo es mentira', 'El otro barrio', 'Un banco en el parque', 'El habitante incierto', 'Amanecer de un sueño', 'Salir del ropero']",Mujer
Mónica Miranda,['Neuroworld'],Mujer
Mónica Molina,"['Así en el cielo como en la tierra', 'La ardilla roja', 'La mitad del cielo', 'Demasiado corazón', 'Belmonte']",Mujer
Mónica Naranjo,"['Marujas asesinas', 'Yo puta', 'Locos por el sexo']",Mujer
Mónica Pastrana,['¡Aquí hay petróleo!'],Mujer
Mónica Randall,"['Cría cuervos...', 'La escopeta nacional', 'Mi querida señorita', 'Proceso a Jesús', 'Mi general', 'Retrato de familia', 'Inquisición', 'Tiempo de tormenta', 'Últimas tardes con Teresa', 'Abuelo made in Spain', 'Las amigas', 'La revoltosa', 'Tatuaje, primera aventura de Pepe Carvalho', 'El monte de las brujas', 'Hasta que el matrimonio nos separe', 'Guapo heredero busca esposa', 'Cristina Guzmán', 'La cruz del diablo', 'El libro de buen amor', 'Furia española', 'Verano 70', 'Sagitario', 'El divorcio que viene', 'El desafío de Pancho Villa', 'Pisito de solteras', 'El abominable hombre de la Costa del Sol', 'La biblia negra', 'Un adulterio decente', 'Virilidad a la española']",Mujer
Mónica Regueiro,['Llueven vacas'],Mujer
Mónica Sagrera,['ma ma'],Mujer
Mónica Van Campen,"['Princesas', 'Palace', 'La ofrenda', 'Atolladero', 'Alas rotas', 'Faust: La venganza está en la sangre']",Mujer
Nabila Baraka,['La vida perra de Juanita Narboni'],Mujer
Naby Dakhli,['Rastros de sándalo'],
Nach,['Verbo'],
Nacho Aldeguer,"['Otros días vendrán', 'Seis puntos sobre Emma', 'Feedback', 'Manolete']",Hombre
Nacho Casalvaque,['Sin vergüenza'],Hombre
Nacho Coronado,['Los héroes del mal'],Hombre
Nacho Duato,['Piedras'],Hombre
Nacho Fernández,['El juego del ahorcado'],Hombre
Nacho Fortes,['La trinchera infinita'],Hombre
Nacho Fresneda,"['El Reino', 'Asamblea', '70 binladens', 'El silencio del pantano', 'Atlas de geografía humana', 'Amar', 'Iris', 'En temporada baja', 'La fortaleza', 'Historias de Lavapiés', 'Legionario']",Hombre
Nacho García Vega,['¡¡¡A tope!!!'],Hombre
Nacho Guerreros,['Vampus Horror Tales'],Hombre
Nacho Leonardi,"['Atilano, presidente']",Hombre
Nacho López,"['Vivir dos veces', 'En Apatía: Secuelas del odio']",Hombre
Nacho Marraco,"['Ira', 'La señora Brackets, la niñera, el nieto bastardo y Emma Suárez']",Hombre
Nacho Martínez,"['Tasio', 'La ley del deseo', 'La mitad del cielo', 'Tacones lejanos', 'Matador', 'La viuda del Capitán Estrada', 'A solas contigo', 'Adiós pequeña']",Hombre
Nacho Nevado,['Sesión 1.16'],Hombre
Nacho Nugo,['Amigos hasta la muerte'],Hombre
Nacho Pérez,"['La mala educación', 'Ausentes']",Hombre
Nacho Rodríguez,['El río de oro'],Hombre
Nacho Rubio,"['Los futbolísimos', 'Bendita calamidad', 'Una de zombis', 'El último fin de semana']",Hombre
Nacho San José,"['Isaac', 'Grimsey', 'Como la espuma', 'El año de la plaga']",Hombre
Nacho Sierra,['FBI: Frikis Buscan Incordiar'],Hombre
Nacho Sánchez,"['Mantícora', 'Diecisiete', 'El arte de volver']",Hombre
Nacho Vidal,"['Va a ser que nadie es perfecto', 'Impávido']",Hombre
Nacho Vigalondo,"['Los cronocrímenes', 'Cabás', 'La chispa de la vida', 'Ayudar al ojo humano', 'Open Windows', 'El síndrome de Svensson', 'Faraday', 'Carne cruda', 'La máquina de bailar']",Hombre
Nacho Vázquez,['Madre amadísima'],Hombre
Nadal Bin,['Asedio'],
Nadala Batiste,['El certificado'],
Nadeska Abreo,['Bullying'],
Nadia Al Saidi,['Laura y el misterio del asesino inesperado (TV)'],Mujer
Nadia Casado,['No habrá paz para los malvados'],Mujer
Nadia Godoy,"['Jamón, jamón']",Mujer
Nadia Gray,"['Muerte al amanecer', 'María, matrícula de Bilbao']",Mujer
Nadia Risueño,['Sueños y pan'],Mujer
Nadia Torrijos,['Ni de coña'],Mujer
Nadia Windel,['Nunca en horas de clase'],Mujer
Nadia de Santiago,"['Las 13 rosas', 'Vida y color', 'Musarañas', 'Otros días vendrán', 'Ali', 'El increíble finde menguante', 'La mujer sin piano', 'La soledad era esto', 'La hora fría', 'Esta noche, no', 'Parada en el Infierno']",Mujer
Nadine Rochex,"['Agítese antes de usarla', 'El hijo del cura', 'Caray con el divorcio']",Mujer
Nadiuska,"['Último deseo', 'Beatriz', 'Vida conyugal sana', 'Señora doctor', 'Un lujo a su alcance', 'Manolo, la nuit', 'La loca historia de los tres mosqueteros', 'Lo verde empieza en los Pirineos', 'El señor está servido', 'Soltero y padre en la vida', 'Tarzán en las minas del rey Salomón', 'Una abuelita de antes de la guerra', 'Zorrita Martínez', 'Brácula: Condemor II']",
Nagore Aranburu,"['Feliz año, abuela', 'Loreak (Flores)', 'Amama', 'Competencia oficial', 'Irati', 'La herida', 'Negociador', 'Ane', 'Kalebegiak', 'La ermita']",Mujer
Nagore Cenizo,['Las buenas compañías'],Mujer
Nahia Laiz,['Sicarivs: La noche y el silencio'],
Nahuel Pérez Biscayart,"['Un año, una noche', 'Todos están muertos']",
Naiara Arnedo,"['Enjambre', 'García y García']",
Naiara Carmona,"['La virgen de agosto', 'Un otoño sin Berlín', 'Nora']",
Naila Schuberth,['Bird Box Barcelona'],Mujer
Naim Thomas,"['Gracias por la propina', 'Caricias', 'Manjar de amor', 'Muerte en Granada', 'Intruso', 'Pesadilla para un rico', 'Aquí llega Condemor, el pecador de la pradera']",Hombre
Naima Lamcharki,"['La venganza de Don Mendo', 'Noches de Casablanca']",Mujer
Naira Gómez,['30 monedas'],Mujer
Najatt Bint,['Afterparty'],
Najwa Nimri,"['Los amantes del círculo polar', 'Abre los ojos', 'El método', 'Piedras', 'Quién te cantará', 'Mataharis', 'Lucía y el sexo', 'Todo lo que tú quieras', 'Salto al vacío', '10.000 noches en ninguna parte', 'El árbol de la sangre', 'Fausto 5.0', 'Asfalto', 'Las vidas de Celia', 'Habitación en Roma', 'Utopía', 'Pasajes', '20 centímetros', 'Oviedo Express', 'Trastorno', 'Verbo', 'A ciegas']",Mujer
Nakarey,['Lo que sabemos'],
Nancho Novo,"['Los amantes del círculo polar', 'Tierra', 'La ardilla roja', 'Astronautas', 'La flor de mi secreto', 'El lápiz del carpintero', 'Amo tu cama rica', 'Tuya siempre', 'Pudor', 'Todos los hombres sois iguales', 'Animales de compañía', 'Tengo una casa', 'Finisterre', 'De bares', 'Hombre muerto no sabe vivir', 'En brazos de la mujer madura', 'La reina anónima', 'Amor, curiosidad, prozak y dudas', 'El juego más divertido', 'La Celestina', 'Más que amor, frenesí', 'Hotel Tívoli', 'Sinfín', 'Continental', 'Hazlo por mí', 'Dile a Laura que la quiero', 'Mátame mucho', 'Somne', 'Esta noche, no', 'SeX']",
Nancy Drake,"['No llores, vuela']",Mujer
Nandita Das,['Rastros de sándalo'],Mujer
Nando Vázquez,['Lo que arde'],Hombre
Nani Fernández,"['Don Quijote de la Mancha', 'Los últimos de Filipinas', 'La gata', 'La ciudad perdida', 'Molokai, la isla maldita', 'La Lola se va a los puertos', 'Alhucemas']",Mujer
Nansi Nsue,['Pan de limón con semillas de amapola'],
Nao Albet,"['El fantástico caso del Golem', 'Forasteros', 'Xtremo', 'Ovella', 'El dios de madera', 'Incidencias']",Mujer
Naomi Watts,['Lo imposible'],Mujer
Narciso Busquets,['Antonieta'],Hombre
Narciso Ibáñez Menta,"['Viaje al más allá', 'Odio mi cuerpo', 'El retorno del hombre lobo', 'Yo hice a Roque III', 'La saga de los Drácula', 'Sal gorda', 'Sólo se muere dos veces', 'Préstamela esta noche']",Hombre
Narcís Villa,['La cima'],
Nasser Saleh,"['No habrá paz para los malvados', 'Verbo']",Hombre
Nat Baker,['Angustia'],Hombre
Nata Moreno,"['Cabeza de perro', 'Manolete']",Mujer
Natacha Gounkevich,['No contéis con los dedos'],Mujer
Natale Cirino,['El expreso de Andalucía'],Hombre
Natalia Abascal,['Vida y color'],Mujer
Natalia Agüero Avecilla,['Mañana es hoy'],Mujer
Natalia Azahara,"['A través del mar', 'A través de mi ventana']",Mujer
Natalia Dicenta,"['Pasos de baile', 'Cásate conmigo, Maribel', 'El florido pensil', 'Un paraguas para tres', 'Zapping', 'Grandes ocasiones', 'La monja', '¡Hasta aquí hemos llegado!']",Mujer
Natalia Estrada,"['Aquí el que no corre, vuela']",Mujer
Natalia Mateo,"['AzulOscuroCasiNegro', 'La soledad', 'Siete mesas de billar francés', 'La vergüenza', 'El patio de mi cárcel', 'Casting', 'El idioma imposible', 'Animales sin collar', 'Smoking Club (129 normas)']",Mujer
Natalia Menéndez,"['¡Dispara!', 'Belmonte']",Mujer
Natalia Millán,"['Nubes de verano', 'Tu nombre envenena mis sueños', 'Explota Explota', 'Sangre de mayo']",Mujer
Natalia Plascencia,['Neckan'],Mujer
Natalia Rodríguez,"['Nocturna', 'Pudor', 'El perfecto desconocido', 'Todo es de color', 'La montaña rusa']",Mujer
Natalia Roig,"['Techo y comida', 'La mancha negra', 'El intercambio']",Mujer
Natalia Ruiz Risueño,"['Alacrán enamorado', 'Baby', 'La gran aventura de Los Lunnis y el Libro Mágico', 'La venganza de Ira Vamp', 'Rey Gitano']",Mujer
Natalia Sánchez,"['Hipnos', 'Los Totenwackers', 'El año de la plaga']",Mujer
Natalia Tena,"['10.000 KM', 'Tierra firme', 'Vivir para siempre', 'Baby', 'Amar', 'Te quiero, imbécil']",Mujer
Natalia Vanina,['Año cero'],Mujer
Natalia Verbeke,"['El método', 'El otro lado de la cama', 'Días de fútbol', 'Nadie conoce a nadie', 'Kasbah', 'El juego de la verdad', 'El Cid, la leyenda', 'GAL', 'A golpes', 'Un buen novio', 'Carretera y manta', 'Arritmia (Guantanamero)']",Mujer
Natalia de Molina,"['Quién te cantará', 'Techo y comida', 'Vivir es fácil con los ojos cerrados', 'Un año, una noche', 'Kiki, el amor se hace', 'Las niñas', 'Adiós', 'Elisa y Marcela', 'La maniobra de la tortuga', 'En tu cabeza', 'Operación Camarón', 'Asedio', 'Animales sin collar', 'Contando ovejas', 'Espejo, espejo', 'Los del túnel', '522. Un gato, un chino y mi padre', 'Sólo química', 'Cómo sobrevivir a una despedida']",Mujer
Natalia Álvarez-Bilbao,"['Poveda', 'Gernika', 'Cine Basura: La película']",Mujer
Natalie Lorence,['Lo imposible'],Mujer
Natalie Madueño,['Petra'],Mujer
Natasa Lusetic,['Territorio comanche'],
Natascha Wiese,['Cenizas en el cielo (Un cel de plom)'],Mujer
Natasha Wiese,['Cenizas en el cielo (Un cel de plom)'],Mujer
Natasha Yarovenko,"['Habitación en Roma', 'Diario de una ninfómana', 'Jóvenes', 'Capitán Trueno y el Santo Grial']",Mujer
Natasja Bode,['Bittersweet Days'],Mujer
Nathalie Boutefeu,['Pau y su hermano'],Mujer
